Transaction_ID,Order_Date,Customer_ID,Customer_Segment,Region,Country,Product_Category,Product_SubCategory,Product_Name,Cost_Price,Selling_Price,Quantity,Discount
TXN-1FF4D16E,2023-07-14,CUST-2972,Consumer,Asia Pacific,Australia,Furniture,Furnishings,Furnishings Model 963,84.07,110.22,7,0.15
TXN-20058CD3,2023-11-08,CUST-1048,Home Office,North America,Mexico,Electronics,Accessories,Accessories Model 991,281.34,$348.02,2,0.0
TXN-BB701801,2022-11-10,CUST-2553,Corporate,Europe,UK,Clothing,Women,Women Model 415,471.65,552.66,9,0.0
TXN-3FE520F2,2023-10-04,CUST-4788,Home Office,Latin America,Brazil,Office Supplies,Binders,Binders Model 923,468.6,550.97,7,0.05
TXN-F2F885C1,2023-04-29,CUST-4536,Consumer,Latin America,Brazil,Electronics,Accessories,Accessories Model 164,326.04,468.38,5,0.0
TXN-30876B14,2022-04-01,CUST-1771,Home Office,North America,Mexico,Office Supplies,Envelopes,Envelopes Model 965,203.04,273.67,1,0.1
TXN-6C5BFFCD,2023-11-12,CUST-3261,Consumer,North America,Mexico,Electronics,Accessories,Accessories Model 423,132.45,$193.62,1,0.05
TXN-8684DAC7,2022-12-10,CUST-4894,Consumer,Latin America,Chile,Electronics,Tablets,Tablets Model 503,57.41,73.5,2,0.2
TXN-A45715FA,2022-09-25,CUST-3212,Consumer,Europe,Italy,Electronics,Smartphones,Smartphones Model 227,105.27,147.3,3,0.0
TXN-C7DF175B,2023-11-08,CUST-1918,Consumer,Asia Pacific,India,Clothing,Women,Women Model 500,443.89,$562.86,4,0.15
TXN-C7DF175B,2022-03-30,CUST-3780,Consumer,Asia Pacific,Japan,Clothing,Kids,Kids Model 705,481.09,538.65,6,0.05
TXN-BB2E2A34,2022-12-15,CUST-4792,Consumer,North America,USA,Furniture,Chairs,Chairs Model 777,323.16,456.38,3,0.1
TXN-5AC9DCAC,2022-12-25,CUST-1729,Home Office,Latin America,Brazil,Furniture,Chairs,Chairs Model 649,235.66,260.95,6,0.2
TXN-4A12CE5C,2023-02-06,CUST-1125,Home Office,Latin America,Chile,Furniture,Chairs,Chairs Model 416,196.14,290.71,1,0.05
TXN-F08288AD,2023-01-19,CUST-2252,Consumer,Asia Pacific,Australia,Office Supplies,Envelopes,Envelopes Model 696,284.81,357.85,3,0.0
TXN-FC9A7CA1,2023-07-01,CUST-1163,Home Office,Asia Pacific,Japan,Clothing,Kids,Kids Model 823,394.96,$435.09,4,0.05
TXN-BA6719D9,2023-01-08,CUST-1473,Home Office,North America,Mexico,Clothing,Men,Men Model 236,357.28,448.75,9,0.05
TXN-4B4C80EB,2023-11-27,CUST-3386,Corporate,Europe,Italy,Furniture,Bookcases,Bookcases Model 873,284.72,394.69,10,0.0
TXN-AF92C4DA,2023-07-01,CUST-1654,Corporate,Europe,UK,Clothing,Women,Women Model 625,274.49,313.25,3,0.0
TXN-0EDBC070,2022-08-09,CUST-1575,Consumer,Asia Pacific,India,Clothing,Shoes,Shoes Model 266,193.95,219.65,8,0.15
TXN-CAEEC7C1,2022-12-20,CUST-2724,Corporate,Asia Pacific,Japan,Electronics,Accessories,Accessories Model 386,455.98,659.79,6,0.05
TXN-B9870F05,2023-11-05,CUST-4034,Consumer,North America,Canada,Electronics,Laptops,Laptops Model 420,11.52,16.74,2,0.0
TXN-594D3999,2023-08-09,CUST-4624,Corporate,Asia Pacific,India,Furniture,Furnishings,Furnishings Model 797,46.08,58.17,9,0.05
TXN-42AA5E4D,2023-04-10,CUST-3006,Consumer,Latin America,Brazil,Furniture,Chairs,Chairs Model 217,497.45,645.73,8,0.0
TXN-1533AFB6,2022-10-18,CUST-3715,Home Office,North America,Canada,Clothing,Kids,Kids Model 973,85.39,98.21,8,0.15
TXN-9EFFEEDE,2022-11-24,CUST-2719,Corporate,Latin America,Brazil,Clothing,Kids,Kids Model 626,236.57,343.67,4,0.2
TXN-EB04CBDB,2023-10-21,CUST-4342,Consumer,Europe,Germany,Clothing,Shoes,Shoes Model 125,173.74,200.61,7,0.1
TXN-E39A2338,2023-06-04,CUST-1459,Consumer,Asia Pacific,China,Clothing,Shoes,Shoes Model 581,307.55,418.14,2,0.0
TXN-86F5F5AD,2022-09-09,CUST-3153,Corporate,Europe,Germany,Furniture,Bookcases,Bookcases Model 373,492.64,717.96,6,0.0
TXN-FFCE8473,2022-12-24,CUST-2853,Consumer,Latin America,Brazil,Furniture,Tables,Tables Model 944,320.73,410.87,8,0.0
TXN-B82509E0,2022-03-14,CUST-1394,Corporate,Latin America,Chile,Electronics,Accessories,Accessories Model 131,356.43,504.54,2,0.1
TXN-644B9F17,2022-11-02,CUST-2196,Corporate,Asia Pacific,China,Furniture,Chairs,Chairs Model 352,414.85,486.45,4,0.0
TXN-23B6E017,2022-06-03,CUST-2230,Consumer,Asia Pacific,India,Office Supplies,Art,Art Model 460,473.0,592.97,2,0.15
TXN-02EC5033,2023-11-03,CUST-3388,Consumer,Europe,UK,Clothing,Men,Men Model 867,318.69,387.53,2,0.0
TXN-ADFEBC81,2022-01-17,CUST-4483,Home Office,Europe,UK,Electronics,Tablets,Tablets Model 399,22.39,33.01,8,0.0
TXN-FB4943EE,2023-12-13,CUST-1281,Corporate,North America,Canada,Furniture,Furnishings,Furnishings Model 240,360.48,458.76,2,0.2
TXN-ACFA863C,2023-02-14,CUST-2373,Consumer,Europe,France,Office Supplies,Binders,Binders Model 843,489.18,563.81,6,0.0
TXN-2FF7042A,2022-11-24,CUST-1843,Corporate,Asia Pacific,India,Furniture,Furnishings,Furnishings Model 859,421.67,580.55,8,0.0
TXN-FB9F26EA,2022-11-11,CUST-3000,Consumer,North America,Canada,Clothing,Kids,Kids Model 647,240.39,294.83,7,0.2
TXN-B497E89A,2023-04-18,CUST-1492,Consumer,Europe,Spain,Clothing,Women,Women Model 566,226.15,268.72,2,0.05
TXN-F2642C0A,2022-11-25,CUST-4333,Home Office,Latin America,Brazil,Furniture,Bookcases,Bookcases Model 776,47.37,59.35,1,0.0
TXN-F8A591B2,2023-08-05,CUST-2547,Corporate,Europe,UK,Electronics,Laptops,Laptops Model 716,345.35,401.76,7,0.05
TXN-DA4FA3EA,2023-02-18,CUST-3994,Corporate,North America,USA,Electronics,Laptops,Laptops Model 686,429.72,553.76,7,0.1
TXN-6FC15E49,2022-07-23,CUST-4445,Consumer,Latin America,Argentina,Electronics,Laptops,Laptops Model 386,474.93,645.8,2,0.05
TXN-E61FBCF0,2022-11-06,CUST-4189,Consumer,North America,USA,Electronics,Tablets,Tablets Model 202,420.97,614.33,7,0.1
TXN-277091B9,2023-03-25,CUST-4242,Corporate,Latin America,Argentina,Electronics,Smartphones,Smartphones Model 241,149.48,180.48,2,0.0
TXN-1888BD8F,2023-11-30,CUST-4161,Consumer,North America,Mexico,Furniture,Tables,Tables Model 144,125.97,146.89,5,0.2
TXN-033EEF05,2022-01-12,CUST-1533,Corporate,Asia Pacific,Japan,Furniture,Chairs,Chairs Model 852,309.39,$401.44,3,0.0
TXN-96AD015B,2023-08-17,CUST-3943,Consumer,Asia Pacific,China,Clothing,Men,Men Model 397,458.63,551.24,10,0.05
TXN-D4514137,2023-11-17,CUST-3405,Corporate,North America,Canada,Electronics,Tablets,Tablets Model 938,22.79,26.49,6,0.2
TXN-45C8056B,2023-12-20,CUST-1606,Corporate,North America,Mexico,Clothing,Shoes,Shoes Model 964,175.94,197.71,10,0.0
TXN-184BDA33,2022-05-21,CUST-1238,Corporate,North America,USA,Electronics,Accessories,Accessories Model 261,114.25,128.94,5,0.1
TXN-AA378D23,2022-12-07,CUST-2699,Home Office,Asia Pacific,Australia,Furniture,Tables,Tables Model 776,127.93,175.41,7,0.0
TXN-0CB46E39,2023-10-10,CUST-4328,Consumer,Asia Pacific,China,Clothing,Men,Men Model 343,204.61,268.31,2,0.2
TXN-EB41945E,2023-11-18,CUST-4354,Corporate,Latin America,Chile,Office Supplies,Art,Art Model 555,386.91,460.64,7,0.2
TXN-42EAADC2,2023-08-14,CUST-2010,Corporate,Asia Pacific,India,Furniture,Chairs,Chairs Model 952,244.28,287.76,8,0.0
TXN-20ADDE5D,2022-03-28,CUST-1668,Consumer,Europe,France,Electronics,Smartphones,Smartphones Model 730,174.79,239.15,7,0.0
TXN-56181C1A,2023-07-26,CUST-4841,Home Office,Latin America,Chile,Electronics,Smartphones,Smartphones Model 296,289.05,428.98,8,0.0
TXN-EF0033E8,2022-08-30,CUST-1706,Corporate,Europe,Spain,Electronics,Accessories,Accessories Model 881,208.07,308.22,6,0.15
TXN-0ABF033A,2023-10-26,CUST-1841,Corporate,Latin America,Chile,Furniture,Furnishings,Furnishings Model 169,145.84,179.96,8,0.2
TXN-8C18868A,2022-04-18,CUST-4083,Corporate,Asia Pacific,India,Clothing,Women,Women Model 882,100.18,144.07,5,0.1
TXN-BBC2C631,2022-11-27,CUST-2658,Corporate,North America,USA,Office Supplies,Envelopes,Envelopes Model 384,156.31,226.48,6,0.1
TXN-3DC3BFD7,2023-02-15,CUST-1879,,North America,Mexico,Electronics,Smartphones,Smartphones Model 506,466.84,575.49,5,0.0
TXN-6405EB8B,2023-04-01,CUST-2931,Corporate,Europe,UK,Office Supplies,Paper,Paper Model 417,486.78,603.84,1,0.0
TXN-32B7C0CB,2022-10-31,CUST-3779,Consumer,Latin America,Chile,Clothing,Men,Men Model 388,245.1,293.98,4,0.0
TXN-11797150,2022-10-22,CUST-4155,Consumer,Asia Pacific,China,Office Supplies,Paper,Paper Model 326,86.93,101.03,7,0.1
TXN-11797150,2023-12-17,CUST-1154,Home Office,Latin America,Chile,Clothing,Men,Men Model 859,467.9,698.97,4,0.05
TXN-DEA4CB73,2022-11-26,CUST-4876,Consumer,Asia Pacific,Australia,Office Supplies,Art,Art Model 531,77.38,106.9,9,0.05
TXN-9EE30800,2022-11-17,CUST-4162,Consumer,North America,Mexico,Furniture,Bookcases,Bookcases Model 733,384.68,444.95,9,0.0
TXN-67C17EE4,2022-10-06,CUST-4974,Consumer,Europe,UK,Office Supplies,Art,Art Model 552,459.81,659.76,5,0.15
TXN-789E52C6,2022-11-04,CUST-1112,Corporate,Latin America,Brazil,Office Supplies,Binders,Binders Model 743,36.49,41.25,10,0.0
TXN-B60CAE5A,2023-07-10,CUST-2345,Home Office,Latin America,Brazil,Clothing,Shoes,Shoes Model 824,58.27,68.67,4,0.05
TXN-01573050,2022-12-10,CUST-4876,Consumer,Asia Pacific,China,Electronics,Tablets,Tablets Model 646,172.97,191.99,3,0.0
TXN-9C0365BF,2023-12-24,CUST-2380,Corporate,Europe,Italy,Office Supplies,Binders,Binders Model 733,102.86,144.53,1,0.05
TXN-62970F03,2022-06-13,CUST-4996,Home Office,Europe,Germany,Electronics,Smartphones,Smartphones Model 558,,560.49,6,0.0
TXN-FCAD43CA,2023-08-28,CUST-1634,Corporate,North America,Canada,Clothing,Kids,Kids Model 928,291.65,396.43,10,0.2
TXN-8A65A948,2023-11-10,CUST-3732,Consumer,Europe,Germany,Furniture,Chairs,Chairs Model 313,306.16,345.22,9,0.2
TXN-8B816A1D,2022-03-02,CUST-4872,Corporate,Europe,Italy,Office Supplies,Binders,Binders Model 575,309.79,391.98,6,0.0
TXN-5706C771,2022-11-08,CUST-4573,Home Office,Asia Pacific,Australia,Electronics,Smartphones,Smartphones Model 347,300.83,440.0,1,0.2
TXN-73DDA66E,2023-12-12,CUST-3508,Home Office,Latin America,Argentina,Electronics,Tablets,Tablets Model 993,391.34,434.14,9,0.15
TXN-AFF6D169,2023-09-26,CUST-1520,Consumer,Latin America,Brazil,Clothing,Men,Men Model 285,488.98,579.22,7,0.0
TXN-4091C371,2023-01-02,CUST-1456,Consumer,Latin America,Argentina,Office Supplies,Envelopes,Envelopes Model 631,446.02,636.8,5,0.2
TXN-9ED1A004,2022-03-24,CUST-4991,Corporate,North America,Canada,Electronics,Tablets,Tablets Model 203,291.11,$371.42,8,0.0
TXN-A80FC19A,2022-07-25,CUST-4480,Consumer,Latin America,Argentina,Furniture,Tables,Tables Model 841,337.28,404.57,9,0.0
TXN-207FCD2F,2023-03-27,CUST-3494,Corporate,Latin America,Argentina,Clothing,Kids,Kids Model 191,473.1,569.21,6,0.2
TXN-640D61E9,2023-05-11,CUST-4637,Consumer,Latin America,Argentina,Electronics,Tablets,Tablets Model 673,349.58,453.12,8,0.1
TXN-A57941A9,2022-09-16,CUST-2021,Corporate,Europe,Germany,Clothing,Men,Men Model 287,265.1,309.62,5,0.1
TXN-1F29CA7B,2023-06-04,CUST-3072,Corporate,Europe,Germany,Electronics,Tablets,Tablets Model 476,367.16,507.19,9,0.15
TXN-142CC1A6,2022-12-02,CUST-3645,,Latin America,Argentina,Furniture,Bookcases,Bookcases Model 924,179.94,213.27,7,0.0
TXN-0D6DCEA9,2023-05-31,CUST-1632,Consumer,Latin America,Brazil,Electronics,Tablets,Tablets Model 567,45.88,54.6,2,0.05
TXN-95EFB04C,2023-02-16,CUST-2810,Home Office,Asia Pacific,China,Clothing,Men,Men Model 256,405.4,507.42,3,0.15
TXN-66DB6844,2022-01-03,CUST-1055,Home Office,North America,Mexico,Electronics,Tablets,Tablets Model 690,136.79,180.42,8,0.0
TXN-D9F9449C,2022-05-01,CUST-3740,Corporate,Asia Pacific,Japan,Clothing,Men,Men Model 402,188.87,260.57,5,0.0
TXN-C7CE8D6D,2023-08-28,CUST-4945,Corporate,Europe,Spain,Office Supplies,Art,Art Model 658,496.77,726.81,10,0.15
TXN-A7875916,2023-05-30,CUST-2302,Consumer,North America,Canada,Electronics,Laptops,Laptops Model 518,171.9,199.76,3,0.0
TXN-D396AA78,2022-05-14,CUST-2661,Consumer,Europe,UK,Office Supplies,Paper,Paper Model 444,342.0,$378.26,3,0.05
TXN-A9F3D8FB,2023-10-24,CUST-1378,Corporate,Europe,UK,Furniture,Bookcases,Bookcases Model 817,429.7,615.84,8,0.15
TXN-38F53AF9,2023-11-08,CUST-2918,Consumer,Asia Pacific,China,Clothing,Women,Women Model 792,436.9,$555.09,10,0.0
TXN-83A50F72,2023-11-12,CUST-3110,Corporate,Europe,UK,Office Supplies,Art,Art Model 524,223.64,249.91,2,0.05
TXN-D3579CAA,2023-02-10,CUST-3302,Corporate,Europe,UK,Clothing,Shoes,Shoes Model 939,385.16,449.27,2,0.0
TXN-59D463D0,2022-11-22,CUST-2852,Consumer,North America,Canada,Office Supplies,Envelopes,Envelopes Model 689,76.23,107.12,3,0.0
TXN-081F5331,2023-03-06,CUST-4154,Consumer,Asia Pacific,India,Clothing,Men,Men Model 627,478.32,640.86,1,0.0
TXN-033166AE,2022-03-13,CUST-4331,Consumer,Latin America,Chile,Clothing,Men,Men Model 347,134.75,$167.76,5,0.05
TXN-755FB4E6,2022-02-23,CUST-2970,Corporate,Latin America,Brazil,Office Supplies,Binders,Binders Model 608,245.29,281.04,6,0.1
TXN-8429418E,2022-09-22,CUST-2048,Consumer,Europe,Italy,Electronics,Accessories,Accessories Model 408,201.08,286.98,8,0.0
TXN-647DB824,2023-09-14,CUST-3532,Consumer,Latin America,Brazil,Electronics,Laptops,Laptops Model 819,269.04,325.76,9,0.1
TXN-C032EB2B,2023-04-27,CUST-2258,Corporate,Europe,Italy,Furniture,Chairs,Chairs Model 599,68.38,87.58,9,0.05
TXN-07A529F0,2023-02-05,CUST-3227,Corporate,Europe,UK,Office Supplies,Envelopes,Envelopes Model 118,313.5,372.44,10,0.15
TXN-5743BA1F,2023-11-01,CUST-2478,Home Office,Asia Pacific,China,Clothing,Shoes,Shoes Model 960,129.09,161.59,4,0.2
TXN-7DC8931B,2022-08-21,CUST-4873,Consumer,Latin America,Chile,Electronics,Tablets,Tablets Model 303,72.21,97.26,1,0.0
TXN-FE23B907,2022-10-05,CUST-4730,Consumer,Asia Pacific,Australia,Office Supplies,Binders,Binders Model 678,43.73,60.62,3,0.05
TXN-8629FEC3,2023-11-13,CUST-4492,Home Office,Latin America,Chile,Office Supplies,Binders,Binders Model 397,197.37,246.59,2,0.15
TXN-2A598B0E,2023-04-17,CUST-2601,Consumer,Asia Pacific,Japan,Office Supplies,Paper,Paper Model 361,160.57,197.31,5,0.2
